Date,KWH,MMBTU
01/16/2021,71453.23,5129.65
01/17/2021,54308.81,9306.95
01/18/2021,-895301.22,0
01/19/2021,63846.19,5651.99
01/20/2021,64787.31,5685.32
01/21/2021,61379.44,0
01/22/2021,61065.41,10785.62
01/23/2021,60472.71,0
01/24/2021,46424.06,NULL
01/25/2021,46503.9,NULL
01/26/2021,51363.85,NULL
01/27/2021,50320.37,10693.79
01/28/2021,51795.82,0
01/29/2021,51374.59,5372.5
01/30/2021,51772.58,4946.28
01/31/2021,47851.81,9645.29
02/01/2021,47078.24,0
02/02/2021,57820.64,5619.82
02/03/2021,60273.77,5529.13
02/04/2021,64720.89,5595.21
02/05/2021,66122,5644.96
02/06/2021,65246.62,5513.37
02/07/2021,50031.74,4559.17
02/08/2021,54707.04,0
02/09/2021,64920.94,10918.44
02/10/2021,63681.19,5481.01
02/11/2021,64061.68,5802.88
02/12/2021,69553.65,5889.1
02/13/2021,56769.35,0
02/14/2021,50037.79,8872.21
02/15/2021,42861.83,0
02/16/2021,53129.8,3416.15
02/17/2021,18556.41,2442.56
02/18/2021,16552.99,2835.37
02/19/2021,26069.18,3809.54
02/20/2021,37619.29,4496.62
02/21/2021,43446.5,3888.44
02/22/2021,46316.21,4930.66
02/23/2021,57085.31,5142.99
02/24/2021,56647.88,0
02/25/2021,60019.96,NULL
02/26/2021,59866.87,NULL
02/27/2021,58902.24,9255.95
02/28/2021,44894.12,0
03/01/2021,52296.08,5435.8
03/02/2021,65503.97,5511.98
03/03/2021,66093.84,0
03/04/2021,63701.35,NULL
03/05/2021,64148.43,NULL
03/06/2021,65618.23,NULL
03/07/2021,51750.29,NULL
03/08/2021,59306.25,NULL
03/09/2021,62567.36,NULL
03/10/2021,63740.49,NULL
03/11/2021,64045.88,NULL
03/12/2021,62609.28,NULL
03/13/2021,62403.89,NULL
03/14/2021,47956.48,NULL
03/15/2021,50821.47,NULL
03/16/2021,61884.22,NULL
03/17/2021,60926.67,10891.98
03/18/2021,60897.67,5842.37
03/19/2021,62271.11,6070.04
03/20/2021,66418.37,5882.02
03/21/2021,46157.72,4764.72
03/22/2021,55629.5,5824.8
03/23/2021,63811.79,5929.3
03/24/2021,64708.67,5659.38
03/25/2021,63537.9,5470.11
03/26/2021,-9934485.22,5792.32
03/27/2021,66271.32,0
03/28/2021,52739.21,9806.22
03/29/2021,62683.81,5829.55
03/30/2021,65990.87,5664.53
03/31/2021,68174.72,5898.56
04/01/2021,69907.65,5903.52
04/02/2021,70526.24,6183.81
04/03/2021,65218.57,0
04/04/2021,53363.96,NULL
04/05/2021,56516.5,NULL
04/06/2021,65053.99,NULL
04/07/2021,64698.9,11607.43
04/08/2021,64248.18,5793.04
04/09/2021,64123.4,5787.01
04/10/2021,63699.63,5294.12
04/11/2021,50252.44,4646.96
04/12/2021,58700.52,5758.67
04/13/2021,61544.18,5614.32
04/14/2021,63907.41,5791.62
04/15/2021,63238.3,5601.67
04/16/2021,63119.07,5402.46
04/17/2021,65393.64,5368.13
04/18/2021,52170.57,4595.68
04/19/2021,55881.54,5722.09
04/20/2021,-887357.56,5724.92
04/21/2021,65917.81,6067.74
04/22/2021,66395.28,6071.41
